=== Recapitulatif Tournoi IA ===
Date: 2026-05-10 13:32:39
IA Joueur 1: IADIFFICILE
IA Joueur 2: IAMOYENNE
Profondeur J1: 3 | Profondeur J2: 4
Nombre de combats: 100/100
Tours max par combat: 30

Victoires J1: 56
Defaites J1: 44
Victoires J2: 44
Defaites J2: 56
Matchs nuls: 0
Temps total tournoi: 244,019 s
Temps moyen coup J1 (IADIFFICILE): 8,725 ms
Temps moyen coup J2 (IAMOYENNE): 207,407 ms
Temps moyen coup global: 106,078 ms

=== Details par combat ===
Combat 77 | issue=J1 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=19 | duree=1,688 s | avgCoupJ1=8,523 | avgCoupJ2=178,029
Combat 78 | issue=J2 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=2,478 s | avgCoupJ1=8,543 | avgCoupJ2=156,608
Combat 79 | issue=J2 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=28 | duree=1,529 s | avgCoupJ1=5,684 | avgCoupJ2=103,541
Combat 80 | issue=J1 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=25 | duree=3,258 s | avgCoupJ1=8,609 | avgCoupJ2=262,112
Combat 81 | issue=J1 | matchup=Chevalier vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=27 | duree=2,181 s | avgCoupJ1=10,055 | avgCoupJ2=156,909
Combat 82 | issue=J1 | matchup=Chevalier vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=19 | duree=2,692 s | avgCoupJ1=12,378 | avgCoupJ2=285,371
Combat 83 | issue=J1 | matchup=Archère vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=17 | duree=1,188 s | avgCoupJ1=8,008 | avgCoupJ2=139,486
Combat 84 | issue=J1 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=21 | duree=2,858 s | avgCoupJ1=9,413 | avgCoupJ2=275,420
Combat 85 | issue=J2 | matchup=Archère vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=3,519 s | avgCoupJ1=16,080 | avgCoupJ2=218,544
Combat 86 | issue=J2 | matchup=Soigneur vs Chevalier | profondeurJ1=3 profondeurJ2=4 | tours=20 | duree=3,095 s | avgCoupJ1=5,140 | avgCoupJ2=304,382
Combat 87 | issue=J2 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=30 | duree=3,830 s | avgCoupJ1=10,598 | avgCoupJ2=244,711
Combat 88 | issue=J1 | matchup=Archère vs Archère | profondeurJ1=3 profondeurJ2=4 | tours=19 | duree=1,115 s | avgCoupJ1=8,940 | avgCoupJ2=113,967
Combat 89 | issue=J2 | matchup=Soigneur vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=24 | duree=945 ms | avgCoupJ1=5,379 | avgCoupJ2=73,316
Combat 90 | issue=J1 | matchup=Archère vs Soigneur | profondeurJ1=3 profondeurJ2=4 | tours=19 | duree=1,661 s | avgCoupJ1=7,228 | avgCoupJ2=176,573
